Using device: cpu
Episode 077/400 | Reward: 36.0 | Epsilon: 0.6798 | Loss: 0.221171
Episode 078/400 | Reward: 17.0 | Epsilon: 0.6764 | Loss: 0.154413
Episode 079/400 | Reward: 62.0 | Epsilon: 0.6730 | Loss: 0.205342
Episode 080/400 | Reward: 34.0 | Epsilon: 0.6696 | Loss: 0.289715
Episode 081/400 | Reward: 23.0 | Epsilon: 0.6663 | Loss: 0.377683
Episode 082/400 | Reward: 72.0 | Epsilon: 0.6630 | Loss: 0.264249
Episode 083/400 | Reward: 49.0 | Epsilon: 0.6597 | Loss: 0.208981
Episode 084/400 | Reward: 95.0 | Epsilon: 0.6564 | Loss: 0.194477
Episode 085/400 | Reward: 14.0 | Epsilon: 0.6531 | Loss: 0.187427
Episode 086/400 | Reward: 24.0 | Epsilon: 0.6498 | Loss: 0.155805
Episode 087/400 | Reward: 71.0 | Epsilon: 0.6466 | Loss: 0.186333
Episode 088/400 | Reward: 23.0 | Epsilon: 0.6433 | Loss: 0.169497
Episode 089/400 | Reward: 109.0 | Epsilon: 0.6401 | Loss: 0.195906
Episode 090/400 | Reward: 31.0 | Epsilon: 0.6369 | Loss: 0.180806
Episode 091/400 | Reward: 21.0 | Epsilon: 0.6337 | Loss: 0.477331
Episode 092/400 | Reward: 30.0 | Epsilon: 0.6306 | Loss: 0.283094
Episode 093/400 | Reward: 23.0 | Epsilon: 0.6274 | Loss: 0.252340
Episode 094/400 | Reward: 44.0 | Epsilon: 0.6243 | Loss: 0.269544
Episode 095/400 | Reward: 11.0 | Epsilon: 0.6211 | Loss: 0.257101
Episode 096/400 | Reward: 74.0 | Epsilon: 0.6180 | Loss: 0.241981
Episode 097/400 | Reward: 31.0 | Epsilon: 0.6149 | Loss: 0.233911
Episode 098/400 | Reward: 15.0 | Epsilon: 0.6119 | Loss: 0.280260
Episode 099/400 | Reward: 37.0 | Epsilon: 0.6088 | Loss: 0.252339
Episode 100/400 | Reward: 96.0 | Epsilon: 0.6058 | Loss: 0.228680
Episode 101/400 | Reward: 40.0 | Epsilon: 0.6027 | Loss: 0.362226
Episode 102/400 | Reward: 15.0 | Epsilon: 0.5997 | Loss: 0.386009
Episode 103/400 | Reward: 50.0 | Epsilon: 0.5967 | Loss: 0.272486
Episode 104/400 | Reward: 48.0 | Epsilon: 0.5937 | Loss: 0.276386
Episode 105/400 | Reward: 11.0 | Epsilon: 0.5908 | Loss: 0.316308
Episode 106/400 | Reward: 78.0 | Epsilon: 0.5878 | Loss: 0.267764
Episode 107/400 | Reward: 55.0 | Epsilon: 0.5849 | Loss: 0.351107
Episode 108/400 | Reward: 34.0 | Epsilon: 0.5820 | Loss: 0.237569
Episode 109/400 | Reward: 39.0 | Epsilon: 0.5790 | Loss: 0.269859
Episode 110/400 | Reward: 62.0 | Epsilon: 0.5762 | Loss: 0.293316
Episode 111/400 | Reward: 149.0 | Epsilon: 0.5733 | Loss: 0.343653
Episode 112/400 | Reward: 108.0 | Epsilon: 0.5704 | Loss: 0.418903
Episode 113/400 | Reward: 84.0 | Epsilon: 0.5676 | Loss: 0.374945
Episode 114/400 | Reward: 87.0 | Epsilon: 0.5647 | Loss: 0.322792
Episode 115/400 | Reward: 175.0 | Epsilon: 0.5619 | Loss: 0.302552
Episode 116/400 | Reward: 121.0 | Epsilon: 0.5591 | Loss: 0.251272
Episode 117/400 | Reward: 183.0 | Epsilon: 0.5563 | Loss: 0.258260
Episode 118/400 | Reward: 79.0 | Epsilon: 0.5535 | Loss: 0.231529
Episode 119/400 | Reward: 13.0 | Epsilon: 0.5507 | Loss: 0.162994
Episode 120/400 | Reward: 44.0 | Epsilon: 0.5480 | Loss: 0.295245
Episode 121/400 | Reward: 24.0 | Epsilon: 0.5452 | Loss: 0.495321
Episode 122/400 | Reward: 48.0 | Epsilon: 0.5425 | Loss: 0.307354
Episode 123/400 | Reward: 66.0 | Epsilon: 0.5398 | Loss: 0.325820
Episode 124/400 | Reward: 46.0 | Epsilon: 0.5371 | Loss: 0.281700
Episode 125/400 | Reward: 101.0 | Epsilon: 0.5344 | Loss: 0.280907
Episode 126/400 | Reward: 44.0 | Epsilon: 0.5318 | Loss: 0.217733
Episode 127/400 | Reward: 21.0 | Epsilon: 0.5291 | Loss: 0.305205
Episode 128/400 | Reward: 35.0 | Epsilon: 0.5264 | Loss: 0.189192
Episode 129/400 | Reward: 49.0 | Epsilon: 0.5238 | Loss: 0.150583
Episode 130/400 | Reward: 34.0 | Epsilon: 0.5212 | Loss: 0.145656
Episode 131/400 | Reward: 54.0 | Epsilon: 0.5186 | Loss: 0.434895
Episode 132/400 | Reward: 41.0 | Epsilon: 0.5160 | Loss: 0.270798
Episode 133/400 | Reward: 146.0 | Epsilon: 0.5134 | Loss: 0.292691
Episode 134/400 | Reward: 64.0 | Epsilon: 0.5108 | Loss: 0.289351
Episode 135/400 | Reward: 69.0 | Epsilon: 0.5083 | Loss: 0.337217
